,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
67,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1023,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,61,92*
68,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1033,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,62,94*
69,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1043,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,63,96*
70,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1053,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,64,98*
71,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1103,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,65,95*
72,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1113,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,66,97*
73,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1123,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,67,99*
74,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1133,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,68,101*
75,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1143,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,69,103*
76,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1153,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,70,96*
77,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1203,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,71,93*
78,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1213,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,72,95*
79,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1223,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,73,97*
80,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1233,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,74,99*
81,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1243,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,75,101*
82,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1253,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,76,103*
83,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1303,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,77,100*
84,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1313,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,78,102*
85,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1323,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,79,104*
86,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1333,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,80,97*
87,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1343,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,81,99*
88,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1353,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,82,101*
89,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1403,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,83,98*
90,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1413,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,84,100*
91,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1423,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,85,102*
92,$,1,SECURE,SAM1.0,DT,L,8.64337E+14,TN04E1234,0,6012080,1423,0,0,0,0,0,0,0,0,0,0,BSNL,1,1,15,0,0,W,0,0,0,0,0,0,0,0,85,102*
